need_bjp_review,reviewed,element_location,element_id,tooltip_text
FALSE,TRUE,sidebar_menu,nav_index,"Contextural material for the application you are currently using, along with some information about the project itself."
FALSE,TRUE,sidebar_menu,nav_data_input,Start here with data entry where you will upload a data file and select features of interest by mass-to-charge ratio (m/z) and retention time.
FALSE,TRUE,sidebar_menu,nav_search_compounds,Search the library for compounds matching the mass spectrometric fingerprints for features of interest.
FALSE,TRUE,sidebar_menu,nav_fragments,"Match fragments from your mass spectrometry experiment against those held in the library, including linked metrics for which compounds and peaks those fragments have been annotated within."
FALSE,TRUE,sidebar_menu,nav_about,"Your reference guide to this application, including user guides and other information."
FALSE,TRUE,sidebar_menu,nav_show_help_label,Click here to toggle tooltips throughout this application.
FALSE,TRUE,sidebar_menu,nav_show_advanced_settings_label,Click here to toggle advanced settings throughout this application.
FALSE,TRUE,sidebar_menu,nav_download_all,Click here to execute compound and fragment matches for all features of interest. Warning! This may take a considerable amount of time.
FALSE,TRUE,sidebar_menu,mod_download_all_save,Click here to execute compound and fragment matches for all features of interest. Warning! This may take a considerable amount of time.
FALSE,TRUE,sidebar_menu,mod_download_all_cancel,Click here to cancel this action and return to the application.
FALSE,TRUE,index,index_go_data_input,Click here to go to the data input page and get started.
FALSE,TRUE,index,data_input_filename_label,"Start by dragging a data file here, or click ""Load"" to select one from your computer."
TRUE,FALSE,index,data_input_relative_error,"Set the instrument mass-to-charge ratio (m/z) relative error in parts-per-million (ppm) for processing, ranging from {this_min} ppm to {this_max} ppm. The default of {this_value} ppm is typical for most applications."
TRUE,FALSE,index,data_input_minimum_error,"Set the instrument minimum mass-to-charge ratio (m/z) absolute error in Daltons (Da) for processing, ranging from {this_min} Da to {this_max} Da. The default of {this_value} Da is typical for most applications."
TRUE,FALSE,index,data_input_experiment_type,"Set the experiment type for your data file; choices are defined in the ""norm_ms_n_types"" database table."
TRUE,FALSE,index,data_input_isolation_width,"Set the instrument data isolation width in Daltons (Da) for processing, ranging from {this_min} Da to {this_max} Da. The default of {this_value} Da is typical for data-dependent acquisition, but may be different for other acquisition types (e.g. for SWATH or HRM it may be much larger)."
FALSE,TRUE,index,data_input_parameters,"Start by clicking ""Add"" to manually add a feature of interest, or by dragging a data file to the widget below or clicking ""Import"" to select one from your computer."
FALSE,TRUE,index,data_input_dt_peak_list_add_row,Click to manually add a feature of interest by its mass-to-charge ratio value and retention time properties.
FALSE,TRUE,index,data_input_dt_peak_list_edit_row,Click to edit a feature of interest selected in the table below.
FALSE,TRUE,index,data_input_dt_peak_list_remove_row,Click to remove a feature of interest selected in the table below.
FALSE,TRUE,index,data_input_process_btn,Click here to begin processing the data file provided and extract data matching the features of interest defined in the list above. More options will be available once data have been processed.
FALSE,TRUE,index,data_input_go_compound,Data have been processed. Click here to go to the compound match page and search for compounds matching your defined features of interest. This is most useful for a broad search or if you suspect an identity already.
FALSE,TRUE,index,data_input_go_fragment,Data have been processed. Click here to go to the fragment match page and search for fragments matching your defined features of interest. This is most useful for examining which fragments within your feature of interest are shared by other compounds.
FALSE,FALSE,index,data_input_is_waters,Click this box to indicate you are using data that includes a lock mass to reveal those settings.
FALSE,FALSE,index,data_input_waters_lockmass,Enter the lock mass value in Daltons for these data.
FALSE,FALSE,index,data_input_waters_lockmass_width,Enter the lock mass instrumental uncertainty value in Daltons for these data.
