atomic_number,symbol,common_name,exact_mass,abundance
4,Be,Beryllium,9.012183065,1
9,F,Fluorine,18.99840316273,1
11,Na,Sodium,22.989769282,1
13,Al,Aluminium,26.98153853,1
15,P,Phosphorus,30.97376199842,1
21,Sc,Scandium,44.95590828,1
25,Mn,Manganese,54.93804391,1
27,Co,Cobalt,58.93319429,1
33,As,Arsenic,74.92159457,1
39,Y,Yttrium,88.9058403,1
41,Nb,Niobium,92.906373,1
45,Rh,Rhodium,102.905498,1
53,I,Iodine,126.9044719,1
55,Cs,Caesium,132.905451961,1
59,Pr,Praseodymium,140.9076576,1
65,Tb,Terbium,158.9253547,1
67,Ho,Holmium,164.9303288,1
69,Tm,Thulium,168.9342179,1
79,Au,Gold,196.96656879,1
83,Bi,Bismuth,208.9803991,1
90,Th,Thorium,232.0380558,1
91,Pa,Protactinium,231.0358842,1
2,He,Helium,4.00260325413,0.99999866
1,H,Hydrogen,1.00782503223,0.999885
73,Ta,Tantalum,180.9479958,0.9998799
57,La,Lanthanum,138.9063563,0.9991119
8,O,Oxygen,15.99491461957,0.99757
23,V,Vanadium,50.94395704,0.9975
7,N,Nitrogen,14.00307400443,0.99636
18,Ar,Argon,39.9623831237,0.996035
92,U,Uranium,238.0507884,0.992742
6,C,Carbon,12,0.9893
71,Lu,Lutetium,174.9407752,0.97401
20,Ca,Calcium,39.962590863,0.96941
49,In,Indium,114.903878776,0.9571
16,S,Sulfur,31.9720711744,0.9499
19,K,Potassium,38.9637064864,0.932581
3,Li,Lithium,7.0160034366,0.9241
14,Si,Silicon,27.97692653465,0.92223
26,Fe,Iron,55.93493633,0.91754
10,Ne,Neon,19.9924401762,0.9048
58,Ce,Cerium,139.9054431,0.8845
24,Cr,Chromium,51.94050623,0.83789
38,Sr,Strontium,87.9056125,0.8258
5,B,Boron,11.00930536,0.801
12,Mg,Magnesium,23.985041697,0.7899
17,Cl,Chlorine,34.968852682,0.7576
22,Ti,Titanium,47.94794198,0.7372
37,Rb,Rubidium,84.9117897379,0.7217
56,Ba,Barium,137.905247,0.71698
81,Tl,Thallium,204.9744278,0.7048
29,Cu,Copper,62.92959772,0.6915
28,Ni,Nickel,57.93534241,0.68077
77,Ir,Iridium,192.9629216,0.627
75,Re,Rhenium,186.9557501,0.626
31,Ga,Gallium,68.9255735,0.60108
51,Sb,Antimony,120.903812,0.5721
36,Kr,Krypton,83.9114977282,0.56987
82,Pb,Lead,207.9766525,0.524
63,Eu,Europium,152.921238,0.5219
